NOMBRE DE PROVEEDOR,ESPECIALIDAD,SUBESPECIALIDAD,PUEBLO,TELEFONO,DIRECCIÌÒN FÌçSICA,Contry,Location
Roberto RuÌ_z LÌ_pez,Internista,,Santurce,"787-751-8286
787-757-0570","Medical Pavillion Ofic 10
1396 Calle San Rafael 
San Juan, PR 00909
Villa Carolina Blq 30 A-10
Ave. Roberto Clemente 
Carolina, PR 00985",Puerto Rico,"Santurce, Puerto Rico
(18.454699983000467, -66.06458000699962)"
JosÌ© E. Nazario Lugo ,Generalista ,,Ponce,787-284-3005,"Ave. Hostos 818 Suite C
Ponce, PR 00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
CristÌ_bal I. MÌ©ndez Ruiz ,Generalista ,,Aibonito,787-896-5738,"Plaza Anidem #3 Carr 447 Km. 3.8
Carr 447 Km 3.8
San Sebastian, PR 00685",Puerto Rico,"Aibonito, Puerto Rico
(18.139880006000453, -66.26568001399966)"
Ana I. RamÌ_rez VÌÁzquez,Generalista ,,Carolina,787-757-5100,"Ave. Roberto Clemente 
Blq 129-28A-1 Villa Carolina, PR 00985",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Eduardo Miralles Alonso ,Generalista ,,San Juan ,787-202-1665,"Ave. San Patricio 862
Urb. Las Lomas 
San Juan, PR 00921",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Hector Villanueva Laguer ,Generalista ,,Aguadilla,787-891-5159,"Urb. Garcia 
528 Ave. Victoria 
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Roberto H. GonzÌÁlez SÌÁnchez ,Internista,,Aguada,787-868-7110,"Calle Colon 127 B
Aguada, PR 00602",Puerto Rico,"Aguada, Puerto Rico
(18.38036997800043, -67.18917997599965)"
Elizabeth PÌ©rez LÌ_pez ,Generalista ,,San Juan,787-247-5223,"1667 Ave. Parana 
Rio Piedras Heights 
San Juan, PR 00924",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Ricardo J. Soler RamÌ_rez ,Generalista ,Acupuntor,San Juan,787-782-4405,"Urb. Las Lomas S-3
Carr 21 
San Juan, PR 00921",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Madeline FernÌÁndez GonzÌÁlez CSP,MÌ©dico de Familia,,Ponce,787-843-0003,"2431 Ave. Las AmÌ©ricas 
Edif Porrata Pila Ste 311
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Rafael A. LÌ_pez HernÌÁndez,Ortopeda,,Guayama,787-866-0132,"Hosp San Lucas 102
Ave. Pedro Albizu Campos 
Guayama, PR 00785",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Rafael DÌ_az Rivera ,Generalista ,,RÌ_o Piedras,787-645-9783,"Cond. Medina Center 
Ofic 704 C/ Arzuaga 112
Rio Piedras, PR 00929",Puerto Rico,"R&iacute;o Piedras, Puerto Rico
"
AnÌ_bal RodrÌ_guez Santana,Generalista,,Isabela,787-872-3730,"1401 Ave. Felix Aldarondo 
Isabela, PR 00662",Puerto Rico,"Isabela, Puerto Rico
(18.501219988000457, -67.02111999699963)"
Marcos Valls Gallio ,Generalista ,Acupuntor,San Juan,787-759-8325,"Torres Plaza las Americas 
Ave. Roosevelt Suite 610
Hato Rey, PR 00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Carmen LÌ_pez de la Cruz ,Generalista ,,RÌ_o Grande,"787-888-7336
787-755-5696","Urb. Villa RÌ_o Grande 
Calle 4 L-1
RÌ_o Grande, PR 00745
Saint Just Medical 
Carr 848 B-24 Urb. Lourdes 
Trujillo Alto, PR 00976",Puerto Rico,"R&iacute;o Grande, Puerto Rico
"
Carlos Iturrino Carrillo ,Dentista,,Carolina,"787-876-2531
787-757-9340","C/Hernaiz Esq. Palmer 74
CanÌ_vanas, PR 00729
Ave. Fragoso Esq 10 
Frente Econo Plaza Carolina 
Carolina, PR 00985
",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Meicy S. Vargas Llavona ,Generalista ,,Aguadilla,787-882-7555,"Carr 2Bo. Victoria Km. 129.3
Aguadilla Medical Services Inc 
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Wilbert R. del Valle Rivera,Generalista,,Guayama,787-866-5544,"Carr 3 Km 136.4
Esq Calle Bering 
Guayama, PR 00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Balbino Ayala Rosa ,Generalista ,Acupuntor,RÌ_o Grande,787-888-8860,"Urb. Villas de Rio Grande 
Calle 6 L-2
RÌ_o Grande, PR 00745",Puerto Rico,"R&iacute;o Grande, Puerto Rico
"
Silvio R. MartÌ_nez Ruiz ,Generalista ,,San Juan,787-982-5328,"Calle Pavia 700 Ste 203
Altos del Correo PDA 22
San Juan, PR 00910",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Wilfredo OrtÌ_z Class,Generalista,,San Juan,787-721-6560,"Medical Pavillion Suite 15
1396 Calle San Rafael 
San Juan, PR 00909",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Milton Collazo Tirado ,Generalista ,Acupuntor,ManatÌ_,787-854-0891,"Cordova DÌÁvila 19
Frente CSFE 
Manati, PR 00674
Delfin Otero 158
Edif Mcdonalds 
Arecibo, PR 00612",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Antonio Bosques Barreto,Generalista ,,Moca,787-877-2664,"Carr 111 Km. 11.5
Bo. Capa 
Ofic 1. Al lado de la Farmacia Tu Salud 
Moca, PR 00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Rolando ColÌ_n MartÌ_nez,Generalista,,Arecibo,787-817-3975,"Ave. Barbosa 54
Arecibo, PR 00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Luis Landestoy Zapata ,Generalista ,Acupuntor,Carolina,787-762-9424,"Villa Fontana 
Via Elena AL-5
Carolina, PR 00983",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Reynaldo De JesÌ_s Rodriguez ,Neurocirujano,,Ponce,787-840-8174,"Torre Medica San Lucas
909 Ave. Tito Castro Suite 614
Ponce, PR 00716",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
RamÌ_n A. DÌÁvila Ortiz ,Ortopeda Cirujano ,,MayagÌ_ez,787-892-1860,"Edif Plaza Metropolitano 
C/Lcdo Hernan Alvarez Ofic 107
San German, PR 00683
Hosp Metropolitano Tito Mattei 
Carr 128 
Yauco, PR 00698",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Luis A. Pacheco Oliveras ,Generalista ,,MayagÌ_ez,"787-873-4948
787-899-2970","Calle Baldorioty #1
Sabana Grande, PR 00637
Calle 2 Carr 304
La Palguera 
Lajas, PR 00667",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Lucia I. VÌÁzquez Negron ,PsicÌ_logo ,,San Juan ,787-723-3583,"Podiatry Center STE 3-E
1413 Ave. Fernandez Juncos 
Santurce, PR 00907",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Emeterio QuiÌ±ones Hidalgo ,Generalista ,,San SebastiÌÁn,787-280-6027,"Ave. Emeterio Estrada 
1003 Suite 6
San Sebastian, PR 00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
Maria D. Fronteras Vargas ,Generalista,,San SebastiÌÁn,787-896-5704,"Calle Pavia FernÌÁndez 108
San Sebastian, PR 00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
Carmen Negron Rosas ,Generalista ,,Moca ,787-254-4944,"Edif. Plaza Noroeste Ofic 5
Calle Calazan Lassalle 100
Moca, PR 00676",Puerto Rico,"Moca, Puerto Rico
(18.394929981000473, -67.11367998199967)"
Erika Matos Torres ,Generalista ,,Hato Rey,787-900-4656,"Mario Julia Industrial Park
919 Ave. Escorial 
Suite 1
San Juan, PR 00920",Puerto Rico,"Hato Rey, Puerto Rico
"
Wilmer Lugo RamÌ_rez ,Generalista ,Acupuntor,Humacao,787-285-5558,"170 Ave. Font Martelo  (Bajos ) 
Humacao, PR 00791",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Eurgilia Ovalles Veloz,Generalista,,Cayey,787-263-3085,"57 Heraclo Mendoza 
al lado del Asilio de Anciano
Cayey, PR 00737",Puerto Rico,"Cayey, Puerto Rico
(18.114650009000457, -66.16996001699965)"
JosÌ© M. Vega Emmanuelli,MÌ©dico de Familia,,Humacao,787-852-5753,"9-E Calle Dusfrene 
Humacao, PR 00792",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Arturo E. PÌ©rez Correa,Generalista,Acupuntor,Caguas,787-747-7270,"Villa Nueva 
Carr 172 A-20 Altos 
Caguas, PR 00726",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
"Janive Health Services, CSP",Internista,,Aguadilla,787-882-7001,"Ceiba Baja 
Carr 110 Km  0.3
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
VÌ_ctor Reyes Cabeza,Generalista,,Ponce,"787-842-8945
787-836-4520","Plazoleta Las AmÌ©ricas 2015
Ave. Las AmÌ©ricas Suite 101
Ponce, PR 00717
C/MuÌ±oz Rivera 405
PeÌ±uelas, PR 00624",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
RamÌ_n R. Lugo BretÌ_n ,Generalista ,,Ponce,787-284-6934,"Carr 132 Km. 24.3
Frente Laboratorio La Providencia 
Ponce, PR 00728",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Luz T. Ruiz VÌ©lez ,Generalista ,,PeÌ±uelas,787-836-1127,"807 Calle MuÌ±oz Rivera 
PeÌ±uelas, PR 00624",Puerto Rico,"Pe&ntilde;uelas, Puerto Rico
"
Frances M. Bigas Morales ,QuiroprÌÁctico,,San Juan,787-782-8311,"Ave. San Patricio 
842-C
Rio Piedras, PR 00921",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
JesÌ_s Monasterio HernÌÁndez ,Cirujano ,General,Ponce,787-848-8203,"Edif. Parra Ste 408
2225 Ponce by Pass 
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Luis E. Torres VÌ©lez ,Generalista ,,Ponce,787-284-3400,"Carr 123 Km 10.2
Bo. Magueyes 
Ponce, PR 00728",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
JosÌ© MartinÌ_ Valdes,AnestesiÌ_logo,,Hato Rey,787-724-8155,"Domenech 383
Hato Rey, PR 00918",Puerto Rico,"Hato Rey, Puerto Rico
"
MÌ_nica L. Portalatin PÌ©rez ,Generalista ,,Ponce,787-840-8500,"Ponce Mall Local 15
Carr 2 Km. 225.8
 Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Ricardo Canals Morales ,Ortopeda ,,Carolina,"787-276-0692
787-774-0399","Ave. Fragoso 4ES 12
Carolina, PR 00983
Urb. Las Lomas 
Carr 21 3 S3
RÌ_o Piedras, PR 00926",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
HÌ©ctor Villanueva Laguer ,Pediatra,,Aguadilla,787-891-3876,"Ave. Victoria 
Calle Tulipan 
Urb. Victoria 
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Santiago BÌÁez Torres ,CardiÌ_logo,,Ponce,787-812-0909,"Torre MÌ©dica San Lucas 
909 Ave. Tito Castro Suite 623
Ponce, PR 00716
",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Arnaldo De JesÌ_s GonzÌÁlez ,Dentista,,San Juan ,787-751-1593,"Parana 1692
El Cerezal 
San Juan, PR 00926",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Aster M. Vega Cruz ,Internista,,San German,787-264-0709,"41 Calle Javilla 
San GermÌÁn, PR 00683",Puerto Rico,"San German, Puerto Rico
(18.08132000100045, -67.04160998799966)"
RenÌ© VÌ©lez RodrÌ_guez,Generalista ,,MayagÌ_ez,787-834-0101,"Hospital Perea 
Sala de Emergencia 
Calle Dr. Basora #17
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Hiram O. Vera Arocho ,Dentista,,Aguadilla,787-891-5435,"163 Ave, Pedro Albizu Campos 
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
HÌ©ctor Stella Arrillaga ,NeurÌ_logo,,San Juan ,787-754-0145,"Cond Midtown 103
421 Ave. Luis MuÌ±oz Rivera 
Hato Rey, PR 00918",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
JosÌ© GonzÌÁlez PÌ©rez ,Dentista,,San Juan,787-792-2155,"Ave. JesÌ_s T. PiÌ±ero 1735
Urb. Summit Hills 
San Juan, PR 00920",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Ricardo Pascual VÌÁzquez,Generalista ,,CanÌ_vanas,787-256-1541,"Urb. Loiza Valley 
C/Bahuina #977
CanÌ_vanas, PR 00729",Puerto Rico,"Can&oacute;vanas, Puerto Rico
"
Carlos J. GarcÌ_a Beltran ,Dentista,,Carolina,787-752-6375,"Plaza Carolina Mall
3er Niverl Ofic 27
Carolina, PR 00988",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Juanita RodrÌ_guez Noble,Pediatra,,BayamÌ_n,787-797-4002,"Calle 25 y 23
Marginal Bella Vista Gardens 
BayamÌ_n, PR 00957",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
Rodrigo Freytes del RÌ_o ,Psiquiatra ,,San Juan ,"787-738-3175
787-764-7175","Calle Heraclio Mendoza #23
Cayey PR  00736
Cond. Olimpio Plaza 
Suite 604
Ave. MuÌ±oz Rivera 1002
San Juan, PR 00927",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
William DÌ_az Torres ,QuiroprÌÁctico,,Arecibo,787-884-8604,"Hospital Metro Pavia 
Zona Industrial Victor Rojas II 
Arecibo, PR 00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Ariel Cruz-Igartura Rivera ,MÌ©dico de Familia,,Toa Alta,787-781-8316,"Ave. Roosevelt 1028
San Juan, PR 00921",Puerto Rico,"Toa Alta, Puerto Rico
(18.388359985000477, -66.24836000699963)"
Luz N. Mundo RodrÌ_guez ,Pediatra,,Carolina,787-768-0388,"Calle Ignacio Arzuaga 12
Carolina, PR 00986",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Jorge Oppenheimer MÌ©ndez,Generalista ,Acupuntor,Carolina,787-253-2287,"Urb. Los Angeles 2014
C/Celestial Marginal Los Angeles 
Carolina, PR 00979",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Centro QuiroprÌÁctico Dr. Juan M. LÌ_pez PSC,QuiroprÌÁctico,,Juncos,787-734-2841,"Juncos Plaza Local A-2
Carr PR 31 Km 24
Juncos, PR 00777",Puerto Rico,"Juncos, Puerto Rico
(18.22783997600044, -65.92472001699963)"
Blanca FernÌÁndez RodrÌ_guez ,MÌ©dico de Familia,,Ponce,787-259-1679,"Hospital Dr. Pila 
Area de Medicina de Familia 
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
"Celeste RodrÌ_guez ColÌ_n, MD, PSC",Generalista,,Cidra,787-714-2288,"Cidra Professional Center 
Carr 734 Km 0.5
Bo. Arenas
Cidra, PR 00739",Puerto Rico,"Cidra, Puerto Rico
(18.175390008000477, -66.16058001299962)"
Luis A. Fuentes MelÌ©ndez ,EmergenciÌ_logo,,Guayama,787-864-4300,"Hospital San Lucas 
Sala de Emergencias
Guayama, PR 00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
JosÌ© R. RÌ_os Orlandi ,Generalista ,,MayagÌ_ez,787-831-7350,"Ave. RomÌÁn de Betances 
464 Sur 
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Almanzar PÌ©rez VÌÁzquez ,Generalista ,,Aguadilla,787-891-2036,"Vista Verde C/6 #510
Aguadilla, PR 00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Jenniffer Vargas Santos ,Internista,,Ponce,787-651-6300,"8118 C/Concordia Ste 209
Galeria Profesional 
Ponce, PR 00717",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Julio Santori Ortiz ,Generalista ,,Caguas,787-733-3678,"Urb. La Inmaculada 
C/1 Casa 103
Las Piedras, PR 00771",Puerto Rico,"Caguas, Puerto Rico
(18.226539990000447, -66.03746001999963)"
Luis E. HernÌÁndez Ortiz ,Generalista ,,Ponce ,787-841-4626,"Ed 307
Carr 10 Fte. Urb. Madrigal 
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Mario L. Castillo Maldonado,Generalista ,,Yauco,787-267-0302,"Carretera PR 127
Bo. Susua Baja Sector 
4 Calles 
Yauco, PR 00698",Puerto Rico,"Yauco, Puerto Rico
(18.033410023000442, -66.84844998399961)"
JosÌ© A. AnglerÌ_ Ramos,EmergenciÌ_logo,,Guayama,787-864-1899,"Calle Derkes 47 Oeste 
Guayama, PR 00784",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Reinaldo J. Carreras GarcÌ_a,NeurÌ_logo,,Ponce,787-842-5252,"Cond. San Vicente 
8169 C/Concordia Ste 210
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Luis O. RamÌ_rez Ferrer,Cirujano ,General,MayagÌ_ez,787-806-1833,"Calle Nelson Perea 21
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Mineira Serrano Morales ,PsicÌ_logo ,,San SebastiÌÁn,787-644-8608,"Calle Pavia FernÌÁndez 67
Aguadilla, PR 00685",Puerto Rico,"San Sebasti&aacute;n, Puerto Rico
"
Gisela GonzÌÁlez ElÌ_as ,PsicÌ_logo ,NeuropsicÌ_logo,MayagÌ_ez,784-402-9779,"102 Ramos Antonini
Mayaguez, PR 00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Manuel PÌ©rez Prieto,Cirujano ,General,Ponce,787-840-0922,"Calle Concordia 37
Ponce, PR 00733",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Centro de Acupuntura MÌ©dica de PR Inc.,Generalista ,Acupuntor,San Juan,787-772-8199,"Mahi Shopping Village 
Suite 7 Carretera 693
Dorado, PR 00646",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
JosÌ© J. Larrauri Renta ,Generalista ,Acupuntor,Coamo,787-825-1224,"C/Mario Brashi 1
Coamo, PR 00769",Puerto Rico,"Coamo, Puerto Rico
(18.07939000300047, -66.36145998599966)"
Cibeles Cotto Santos ,Generalista,,Trujillo Alto,787-755-2630,"Coop. Ciudad Universitaria
Ave. Periferal G-8
Trujillo Alto PR  00976
",Puerto Rico,"Trujillo Alto, Puerto Rico
(18.35556997800046, -66.00495002199966)"
Pedro A. Berrios AntuÌ±a,Generalista,,Juana DÌ_az,787-887-2555,"C/Degetau #41
Juana DÌ_az, PR 00795",Puerto Rico,"Juana D&iacute;az, Puerto Rico
"
Jorge Aldrich Novoa ,Cirujano PlÌÁstico ,,Guaynabo,787-622-5402,"101 Ave. San Patricio Plaza 
Ofic 1160 
Frente a San Patricio Plaza
Guaynabo, PR 00968",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Jorge Aldrich Novoa ,ENT,,Guaynabo,787-622-5402,"101 Ave. San Patricio Plaza 
Ofic 1160 
Frente a San Patricio Plaza
Guaynabo, PR 00968",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Orvil F. MartÌ_nez Rivera,Generalista,,Rio Piedras,787-748-9955,"Ave. San Claudio #396
Sagrado CorazÌ_n (Cupey)
RÌ_o Piedras, PR 00926",Puerto Rico,"Rio Piedras, Puerto Rico
(18.11157001300046, -66.22273000099966)"
Luis C. Rojas Ruiz,Psiquiatra ,Evaluador,San Juan,787-765-9190,"Ferrocarril #1056 Suite #6
San Juan PR  00925",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Glenn Garayalde Controneo,NeurÌ_logo,,Rio Piedras,787-723-1735,"Torre Hosp. Metropolitano
Urb. Las Lomas Carr #21 
Ofic. 305 RÌ_o Piedras PR  00922",Puerto Rico,"Rio Piedras, Puerto Rico
(18.11157001300046, -66.22273000099966)"
ConcepciÌ_n Maldonado Morales ,Psiquiatra ,Evaluador,Guayama,787-765-5626,"Urb. El Cerezal #1664 Calle ParanÌÁ San Juan, PR
Guayama Medical Center Ave. Los Veteranos #3 Guayama, PR   ",Puerto Rico,"Guayama, Puerto Rico
(17.985200020000434, -66.11315001099962)"
Irma Vargas Ramos ,AnestesiÌ_logo,,"Cupey 
BayamÌ_n ","787-292-3657
787-620-818 
ext. 3022/3021","Carr 844 Km. 0.5 Cupey, PR 
Carr 2 Km 11.7 BayamÌ_n, PR ",Puerto Rico,"Cupey Bayam&oacute;n, Puerto Rico
"
Carlos Heredia Burgos ,Generalista ,,Morovis,787-862-3969,"30 Calle Baldorioty 
Morovis, PR 00687",Puerto Rico,"Morovis, Puerto Rico
(18.32585999200046, -66.40652999299965)"
Jorge A. Mundo Sagardia ,Internista,,Hato Rey,787-725-1603,"Ashford Medical Center 
Washington St. 29, Suite 308 
San Juan, PR 00907",Puerto Rico,"Hato Rey, Puerto Rico
"
Jorge A. Mundo Sagardia ,CardiÌ_logo,,Hato Rey,787-725-1603,"Calle Jimenez 564 B
San Juan, PR 00918",Puerto Rico,"Hato Rey, Puerto Rico
"
Ricardo A. HernÌÁndez Castillo ,NeumÌ_logo,,Guaynabo,787-508-5455,"Miramar Plaza Suite 1250
101 Ave. San Patricio
Guaynabo, PR 00968",Puerto Rico,"Guaynabo, Puerto Rico
(18.359729975000448, -66.11052000299964)"
Farida H. Ramos SuÌÁrez ,Generalista ,,Aguadilla,787-891-5482,"Plaza Hostos, Carr. #2 Km 151
Bo. Algarrobo
MayagÌ_ez PR  00680",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Hiram Ortega Cruz ,Generalista ,,Aguadilla,787-868-0345,"Bo. Asomante 
Carr 115 Km 24.5
Aguada, PR 00602",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Baltazar RodrÌ_guez Cruz ,Generalista ,,Lares,787-897-1444,"Ave. Los Patriotas 
Km 2.9 Carr 111
Lares, PR 00669",Puerto Rico,"Lares, Puerto Rico
(18.29824998400045, -66.87340999299965)"
Francisco del RÌ_o Ferrer ,Generalista ,,Morovis,787-862-0417,"4 Calle del Carmen 
Morovis, PR 00687",Puerto Rico,"Morovis, Puerto Rico
(18.32585999200046, -66.40652999299965)"
Rolando ColÌ_n Nebot,Ortopeda,,Arecibo,787-878-5949,"Hospital Cayetano Coll y Toste 
Ssuite 102
Arecibo, PR 00612",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
JosÌ© R Fumero PÌ©rez ,Ortopeda ,,Santurce,787-725-3555,"Ponce de LeÌ_n #1507
Suite 1-C Pda. 22 Santurce
San Juan PR  00907",Puerto Rico,"Santurce, Puerto Rico
(18.454699983000467, -66.06458000699962)"
Yilda M. Rivera Nazario ,Dentista,PediÌÁtrico,Hato Rey,787-753-1475,"Ave. CÌ©sar GonzÌÁlez 576
Ofic. 307 
Hato Rey, PR 00918",Puerto Rico,"Hato Rey, Puerto Rico
"
Juan C. Arraut GonzÌÁlez ,Internista,,San Juan / Carolina ,"787-777-3535
787-757-1800","Hosp Asem-Centro MÌ©dico
Hosp. UPR-Federico Trilla",Puerto Rico,"San Juan / Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
Angel Torres SÌÁnchez ,Generalista ,,Vega Baja ,787-858-0139,"Monte Carlo #124 
Calle Marginal 
Vega Baja, PR 00693 ",Puerto Rico,"Vega Baja, Puerto Rico
(18.446009992000427, -66.38754999999964)"
"Metropolitan MRI Associates, PSC",RadiÌ_logo,,RÌ_o Piedras,787-781-0058,"Villa Fontana, Ave. Fragoso #4-A
S-4 y 5
Carolina PR  00985",Puerto Rico,"R&iacute;o Piedras, Puerto Rico
"
Arraiza Radiology ,RadiÌ_logo,,Arecibo,787-878-3000,"Bo. San Daniel 
Carr 2 Km. 80.1
Arecibo, PR 00614",Puerto Rico,"Arecibo, Puerto Rico
(18.47238998600045, -66.71972999299965)"
Caribbean Imaging Radiation Treatment Center,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,Ponce,787-259-8420,"Edif. Parra 2225 
Ponce by Pass Suite 103
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
Imaging Development Corp.,RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,CanÌ_vanas,787-876-0973,"Reparto Metropolitano
Calle 42 SE NÌ_m. 1000
RÌ_o Piedras PR  00921",Puerto Rico,"Can&oacute;vanas, Puerto Rico
"
Orthohand Surgery PSC,Ortopeda ,,MayagÌ_ez,787-652-9200,"MayagÌ_ez Medical Center
Carr. #2 Bo. Sabalos
MayagÌ_ez PR  00680 (2 mÌÁs)",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
Derik I. Marrero Amadeo,Cirujano PlÌÁstico ,,San Juan,787-268-3200,"Ave. Lomas Verdes Suite 202
San Juan PR  00927",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Ronalds A. Manns DBA Centro QuiroprÌÁctico,QuiroprÌÁctico,,MayagÌ_ez,787-833-4510,"MayagÌ_ez Terrace #1078 
Calle ArrarÌÁs
MayagÌ_ez PR  00680",Puerto Rico,"Mayag&uuml;ez, Puerto Rico
"
"Sociedad de RadiÌ_logos Consultores, PSC",RadiÌ_logo,ProducciÌ_n e InterpretaciÌ_n,ManatÌ_,787-854-3131,"Urb. Atenas Carr 2
Marginal Esq HernÌÁndez 
Manati, PR 00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Manuel Santiago Cummings ,AnestesiÌ_logo,,Ponce,787-284-5398,"2225 Ponce by Pass
Edif Parra Ste 404
Ponce, PR 00731",Puerto Rico,"Ponce, Puerto Rico
(18.011650011000427, -66.61441997899965)"
VÌ_ctor M. Cruz Nieves ,QuiroprÌÁctico,,Carolina,787-257-5200,"Ave. Fragoso 4-E S-4
Villa Fontana 
Carolina, PR 00983",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
